composition energy_pa bandgap
TePb -3.60388804 0.0
PrCd -3.16361046 0.0
CdPt -3.801881485 0.0
MgS -4.270288535 2.95
CrN -9.25196121 0.0
PbSe -3.923117685 0.0
VO -7.65304916 1.191
BN -8.7085702 4.809
YC -7.804587955 0.0
CdPt -3.80187689 0.0
LuHg -2.87583831 0.0
YbTl -2.4331893 0.0
CaIn -2.8356024 0.0
MgHg -1.141143075 0.0
YMg -4.1128688 0.0
BeO -7.099631265 7.021
AlIr -7.246649965 0.0
HoAu -4.796835635 0.0
TmZn -3.223731285 0.0
Kr -0.004058825 7.392
Ne 0.30809448 14.204
Ne 0.27899747 14.112
Pa -9.47905563 0.0
TbSe -5.82959697 0.0
SrMg -1.668984965 0.0
DyTe -5.14947224 0.0
ErAs -6.1258688 0.0
ScCd -3.91352129 0.0
GaNi -4.67494005 0.0
HBr -1.62863461 0.0
ZrPd -7.446986965 0.0
CaPb -3.371110325 0.0
MnHg -4.328663495 0.0
NbN -10.079310395 0.0
Ne 0.26830408 13.838
Ne 0.27181885 14.089
Ne 0.27367647 14.094
Ne 0.27764301 14.11
La -4.92255331 0.0
GeC -5.649441785 0.0
TaN -10.936658125 0.0
TmP -6.547222645 0.0
TbP -6.632471545 0.0
InHg -1.50001121 0.0
HgTe -1.73658319 0.0
FePt -7.422148915 0.0
MnHg -4.32868115 0.0
SmCd -3.132397855 0.0
WC -11.21430012 0.0
CsCl -3.270287735 5.181
Sr -1.2969432 0.0
I -1.40585838 0.0
Y -6.46375536 0.0
TbS -6.38893794 0.0
ZnS -3.50845727 2.319
ErSb -5.436776935 0.0
TmAs -6.066112155 0.0
MgAg -2.43621711 0.0
KF -4.059425735 7.7
ZrC -8.465283035 0.0
ErTl -3.768884105 0.0
CoSi -6.675202045 0.0
ZrN -9.23236333 0.0
AuC -4.001131315 0.0
TmCd -3.00362447 0.0
TbAl -4.58227183 0.0
CaTl -2.62088333 0.0
CsBr -3.008937975 4.487
ZrP -8.31041248 0.0
Sc -6.328367185 0.0
BaSe -4.75445898 2.106
HCl -1.84724238 0.0
MgS -4.2593899 3.57
NdHg -3.005373995 0.0
TlSn -3.113530535 0.0
YbPb -3.17219112 0.0
YCd -4.04270353 0.0
ErZn -3.26642919 0.0
YbCd -1.62588612 0.0
MnAl -6.653957435 0.0
MoN -9.20624389 0.0
MgO -5.97884911 4.975
MnO -7.76796169 0.423
CoO -5.641115995 0.0
NiO -5.00049879 2.62
HoP -6.60832141 0.0
ZnO -4.536660055 0.967
ZnTe -2.38029478 0.0
AgO -3.67630808 0.0
NiO -5.0025124 2.61
MnNi -7.30941194 0.0
ReC -10.573770365 0.0
MgTe -3.221779245 2.458
MnPd -7.295463845 0.0
YbSn -3.43378971 0.0
PrHg -3.01136587 0.0
NdAl -4.60674069 0.0
SrHg -1.52397944 0.0
MnRh -8.33302592 0.0
Mg -1.542322345 0.0
FeO -6.51039239 0.0
GdBi -5.26509669 0.0
HoS -6.326586205 0.0
ZrS -7.68243351 0.0
HgTe -1.887697755 0.161
ZrCo -8.10626769 0.0
PdN -5.702451225 0.0
SmTl -3.91739363 0.0
TlBr -2.87500079 2.199
AlBi -3.83309234 0.342
IrC -7.811254025 0.0
TbCu -4.410978425 0.0
TbHg -2.943852995 0.0
ScPd -6.659946285 0.0
DyCd -3.075620575 0.0
BP -6.453390315 1.367
AlP -5.1889276 1.751
BN -8.709441655 4.798
Ne 0.26970205 13.842
TmSb -5.36478029 0.0
PdN -5.236733395 0.0
PtC -6.07804375 0.0
ErTl -3.76755498 0.0
AlRu -7.13662245 0.0
NiPt -5.912290475 0.0
Zn -1.264779455 0.0
TiHg -4.035630705 0.0
ErCd -3.053764735 0.0
ErTe -5.06083574 0.0
RbI -2.708333485 3.455
TiAl -6.15792935 0.0
CoO -6.02151418 0.875
ScS -7.101033655 0.0
TlCl -3.07424487 2.323
ZnO -4.39832264 1.084
LiCl -3.685954555 6.781
InAs -3.93485273 0.366
LiBr -3.31438397 5.432
LiI -2.910798185 4.53
TbBi -5.234054345 0.0
MnNi -7.327026585 0.0
CaPd -4.265636905 0.0
ErTe -5.06083574 0.0
TbCu -4.412078425 0.0
MnPt -7.892204295 0.0
CeCd -3.163654545 0.0
YN -9.08730358 0.417
TmCu -4.3864056 0.0
TmHg -2.86324404 0.0
AlNi -5.325559285 0.0
MnV -9.268399135 0.0
YbHg -1.555680555 0.0
HfC -10.53384061 0.0
VC -9.471456405 0.0
ScN -9.24399299 0.0
CrTe -6.21455795 0.0
KI -2.738515505 3.367
KBr -3.062690865 3.948
MnRh -8.31624173 0.0
AlO -5.55009767 0.0
NiO -5.00263961 2.611
MgAu -3.02003738 0.0
ZrN -10.11862526 0.0
LiF -4.82664204 9.633
TaC -11.11807113 0.0
CaO -6.44422863 3.687
PbSe -4.161515955 0.686
GeTe -3.96904997 0.753
Ne 0.27487418 14.098
Ne 0.27651557 14.103
YP -7.56541812 0.0
PdO -4.68713191 0.0
HfC -9.770590625 0.0
RuC -8.56098308 0.0
CsF -3.856732485 6.315
CrH -6.42238416 0.0
ScSi -5.386130195 0.0
ScHg -3.74142932 0.0
SrO -5.629314655 2.792
ErIn -4.087971395 0.0
TiPd -6.99519761 0.0
ZrCu -6.23805498 0.0
SrS -4.7567991 1.874
SiRu -7.950246945 0.0
SrO -6.04416081 3.363
TePb -3.831139575 0.966
PaO -8.435181585 0.0
BaO -5.905855545 2.111
Th -7.41284833 0.0
LuBi -5.031708425 0.0
NpP -10.037742345 0.0
ThN -9.44181483 0.0
ThS -7.619320905 0.0
ThBi -6.27684962 0.0
NdTe -5.377659565 0.0
CsBr -3.04938214 4.521
PdN -5.61561771 0.0
HCl -2.76851112 2.341
BOs -9.188762795 0.0
HoIr -7.56891535 0.0
TiPd -6.924104435 0.0
MoC -9.81789005 0.0
WN -10.3081212 0.0
CdTe -2.488338485 0.874
RbBr -3.013205365 4.153
ErTe -5.06083855 0.0
TaC -10.7038101 0.0
TaO -9.28546006 0.0
HgPt -3.128820935 0.0
Te -2.980684885 0.0
Zr -8.546994965 0.0
Sb -3.842881355 0.0
ReN -9.713294325 0.0
YZn -4.228305885 0.0
ZrZn -5.188858095 0.0
HoMg -3.13275719 0.0
VN -9.58913331 0.0
Ne 0.26675085 13.832
ZnNi -2.60335144 0.0
NdP -6.62728426 0.0
UN -11.121715835 0.0
Ge -4.623692585 0.0
YbAs -3.901928785 0.0
ReN -9.20057771 0.0
HoIn -4.10890878 0.0
TiGa -5.868503445 0.0
NdAu -4.78210577 0.0
RbCl -3.288918505 5.126
PrAu -4.76951605 0.0
YAs -6.61918963 0.0
MoN -9.55395512 0.0
TlHg -1.334454295 0.0
NbIr -9.985611905 0.0
DyTl -3.818868885 0.0
YP -7.006044475 0.0
HoPd -5.790499905 0.0
TmPd -5.77386391 0.0
YbGa -2.79524177 0.0
AlOs -7.881444385 0.0
TlSb -3.07474367 0.0
YbPd -4.212529565 0.0
AlPd -5.337203135 0.0
TmAu -4.764462475 0.0
Th -7.4128493 0.0
ScBi -5.865477685 0.0
US -9.080802945 0.0
PrS -6.474990205 0.0
TmTe -4.97211301 0.0
ThSe -6.99625021 0.0
PtN -6.066481755 0.0
PtN -5.808632545 0.0
GdAs -6.19589578 0.0
YHg -3.891695955 0.0
KI -2.808145545 3.978
ZrHg -4.593468585 0.0
ErTl -3.767566945 0.0
HoMg -3.13274121 0.0
LuIr -7.661844225 0.0
CdS -3.157422355 1.341
Ru -9.2019888 0.0
Re -12.422818875 0.0
Si -5.424892535 0.773
YTe -6.112343425 0.0
PtC -6.16124703 0.0
MoN -9.867105345 0.0
ReN -9.315705425 0.0
EuHg -1.79632925 0.0
BAs -5.687312155 1.416
ScAu -5.601286265 0.0
ZnNi -3.67839622 0.0
SmAl -4.603596405 0.0
SmAu -4.791521425 0.0
HoRh -6.827126415 0.0
DyHg -2.93089783 0.0
NbRh -9.09217692 0.0
O -4.748844895 0.0
PuN -12.578184275 0.0
TlCl -3.121627705 2.637
TiCu -5.77529871 0.0
LuAu -4.79705949 0.0
HoCd -3.062559845 0.0
ZnAu -2.4819451 0.0
VN -9.78326587 0.0
VIr -9.38686898 0.0
ZnPd -3.793121465 0.0
HoTl -3.792256835 0.0
CeHg -3.00964845 0.0
DyIn -4.133055385 0.0
HoZn -3.269348585 0.0
TbAu -4.801447045 0.0
ScPt -7.42085156 0.0
HfCo -8.920723905 0.0
TiAu -5.81657666 0.0
NdAs -6.22118753 0.0
GeP -4.95723248 0.0
GeAs -4.58526093 0.0
NbRu -9.80007782 0.0
TiPt -7.67669881 0.0
N -3.908882355 0.0
YSb -6.459033735 0.0
ScO -8.52983032 0.0
NdSb -5.634255575 0.0
ScC -7.30398004 0.0
HgPd -2.910412385 0.0
YbO -6.526344775 3.583
CdTe -2.308053605 0.0
MnPd -7.29396533 0.0
CeCd -3.16208002 0.0
AgF -3.297522585 0.0
GdIn -4.179388605 0.0
CaSe -4.511199325 3.359
FeNi -7.006055085 0.0
Si -5.132497275 0.0
TiN -9.7229124 0.0
PrAl -4.59796534 0.0
HoAg -4.041814705 0.0
AlPt -5.837534205 0.0
BeO -6.6259948 8.496
CdO -3.948041835 0.0
ErP -6.03609074 0.0
CrTe -6.334922815 0.0
RbCl -3.349542725 5.121
MnZn -5.080132145 0.0
FeN -8.442702575 0.0
MnIr -9.083121725 0.0
TiIr -9.143322025 0.0
ZnSe -3.092294485 1.499
NaBr -3.05439715 4.361
KCl -3.427254515 5.354
GaN -6.148775995 2.032
CeS -6.46458073 0.0
AgN -3.98192551 0.0
NbO -8.67251808 0.0
RbI -2.758059305 3.87
LiIr -5.62443076 0.0
YbAu -3.348020355 0.0
LaS -6.697052455 0.0
AlN -7.420864325 3.581
KBr -3.13520129 4.454
LaTe -5.6309471 0.0
RbBr -3.067918355 4.438
HoBi -5.16501962 0.0
UC -10.381646355 0.0
NiHg -2.72866175 0.0
MoN -9.630648485 0.0
ScAs -6.86688377 0.0
ScSb -6.165335735 0.0
EuPb -3.469384885 0.0
ZrC -9.694133305 0.0
NbRu -9.828165665 0.0
CsH -2.274187655 2.377
CeZn -3.32004906 0.0
PrTe -5.40088644 0.0
NdS -6.473615465 0.0
EuIn -2.8785283 0.0
RuN -7.84356896 0.0
InSb -3.55209074 0.264
YAu -5.72739758 0.0
LaSe -6.20810166 0.0
NpO -9.959635335 0.0
Si -5.13378344 0.0
MnTe -6.136342655 0.0
PtC -6.73658802 0.0
NaF -4.302060205 6.852
InTe -3.015107715 0.0
RhN -6.8539994 0.0
EuPb -3.469394335 0.0
IrN -7.11019355 0.0
CrC -9.36251074 0.0
PdO -5.04604402 0.0
CdS -3.02778571 0.372
LaAs -6.364102665 0.0
CuCl -2.99216318 0.549
AgN -3.850942375 0.0
NdZn -3.33267998 0.0
ZrH -6.28502366 0.0
TmTe -4.86414546 0.0
AuN -4.115372915 0.0
WN -10.71755316 0.0
MnIr -9.08312071 0.0
GdSe -5.8636098 0.0
TiB -6.466448975 0.0
InAs -3.73662459 0.0
ScAl -5.486562635 0.0
PbS -4.456217995 0.691
AlRh -6.60468843 0.0
HRh -5.2835046 0.0
DyRh -6.808949175 0.0
ErAs -5.62795836 0.0
CeAs -6.20058893 0.0
BaTe -4.32357199 1.708
NbIr -9.98557814 0.0
PrSe -5.97646657 0.0
CuBr -2.75684468 0.422
ScAs -6.38045084 0.0
AlSb -4.099430545 1.376
NdSe -5.96421374 0.0
K -0.9903724 0.0
NpN -11.74246459 0.0
TmBi -5.058508605 0.0
PuC -11.656550375 0.0
YBi -6.165890025 0.0
ScSn -4.75500701 0.0
RuN -8.48597243 0.0
AuN -4.08225883 0.0
Sr -1.67932207 0.0
GaIr -6.331211155 0.0
GdCd -3.10382034 0.0
GdRh -6.76707968 0.0
TiRe -10.478826385 0.0
ScNi -6.46333368 0.0
CuPd -4.572651 0.0
WN -10.3081212 0.0
He 0.032260395 18.437
PrBi -5.387208455 0.0
LaN -7.35979843 0.0
GeTe -3.955350555 0.508
OsN -8.218279915 0.0
WC -10.764977315 0.0
AlRe -8.071672655 0.0
MoC -10.12062646 0.0
PdC -5.712231375 0.0
ScSb -5.836049405 0.0
TbCd -3.090101335 0.0
BeCo -5.734900915 0.0
EuSe -4.891257375 1.806
GdO -7.476751235 0.0
ScC -7.9172498 0.0
NpS -9.89808273 0.0
AgC -3.77065862 0.0
USb -7.90947394 0.0
EuTl -2.685750075 0.0
ScIr -8.621789925 0.0
CoN -7.608182185 0.0
ThC -8.595273865 0.0
I -1.43451334 0.0
SnAs -4.390255585 0.0
GdCu -4.407295375 0.0
LaN -7.94195249 0.0
PuO -10.9970463 0.0
HBr -2.430404805 1.105
BaCd -1.739479235 0.0
VPt -8.043233145 0.0
TiIr -9.142754615 0.0
BN -8.749723475 4.062
DyAg -4.04719306 0.0
EuS -5.33356273 2.068
CuAu -3.54409045 0.0
Ti -7.76208827 0.0
SiOs -8.668883835 0.0
TlI -2.61797653 2.172
GaAg -2.879466005 0.0
RhN -7.297900775 0.0
Si -5.42487976 0.773
BaHg -1.632409715 0.0
YbPb -3.17219914 0.0
TmIr -7.58614395 0.0
ZrPt -8.213957505 0.0
GdTl -3.871734035 0.0
CuCl -3.169018855 0.641
CuBr -2.937715165 0.617
ThTe -6.375016755 0.0
Sm -4.69059296 0.0
IrN -7.82712946 0.0
PuP -11.01856907 0.0
CsI -2.75540867 3.926
EuTe -4.34190951 1.484
RbF -3.94450974 7.051
CrN -9.38135937 0.0
ScGe -5.22389209 0.0
ReN -9.852345625 0.0
NiH -4.52352546 0.0
NdTl -3.95543873 0.0
ZnPt -4.229725275 0.0
VIr -9.38686967 0.0
MgO -5.63419012 3.613
ErAg -4.040306885 0.0
LuAs -6.05959839 0.0
GaRu -6.41513732 0.0
NpTe -8.577433425 0.0
FeRh -7.83720386 0.0
TiRh -8.23355781 0.0
TiGa -5.868514815 0.0
TiAg -5.190382345 0.0
DyZn -3.27790103 0.0
GaRh -5.84040449 0.0
BeNi -5.130925145 0.0
FePt -7.422032735 0.0
LaP -6.745570475 0.0
YbIr -5.50435229 0.0
Ga -3.010844455 0.0
PtC -6.16126662 0.0
GdAg -4.057445825 0.0
DyZn -3.277817165 0.0
NaCl -3.38751685 5.246
GaBi -3.531021085 0.0
GaAs -3.747760745 0.0
NbC -10.122678835 0.0
TaN -10.773580515 0.0
GeTe -3.955735265 0.629
UAs -8.555078215 0.0
TiCo -7.81289979 0.0
GdZn -3.297966285 0.0
YIr -8.44455192 0.0
KCl -3.35121575 5.123
MnS -7.06427824 0.0
Si -4.91667437 0.0
PuRu -11.911007825 0.0
MnAl -6.65396986 0.0
BaZn -1.759891945 0.0
ZrIr -9.467868215 0.0
NiO -4.999766085 2.627
NiPt -5.912306635 0.0
TbRh -6.790039765 0.0
Ag -2.82042373 0.0
LaAg -4.143498945 0.0
CoPt -6.670789275 0.0
ZnPd -3.79312171 0.0
CdAg -1.928198595 0.0
LaBi -5.551865205 0.0
BiO -5.01475005 0.0
NpSe -9.273343575 0.0
NpTe -8.600835645 0.0
NaH -2.3779011 1.313
EuCd -1.865248 0.0
UP -9.31238745 0.0
InSb -3.31690637 0.0
NbN -9.863743475 0.0
GdSb -5.551481385 0.0
GdSb -5.55152134 0.0
Yb -1.5055866 0.0
TiC -9.261691825 0.0
CrC -9.189908115 0.0
OsN -9.100958065 0.0
SmAs -6.212570395 0.0
EuZn -1.953159535 0.0
GeSb -4.228965055 0.0
ErCu -4.41832553 0.0
GdAl -4.591978515 0.0
DyCu -4.41004058 0.0
ScRh -7.82575923 0.0
MgTe -3.154839735 0.596
InPd -4.45547006 0.0
BaS -5.105846185 2.249
RuC -8.72984738 0.696
AlAs -4.68664757 1.627
CeAg -4.043665565 0.0
DyPd -5.784877445 0.0
DyMg -3.15140791 0.0
ZnAg -2.096018095 0.0
HoCu -4.41341768 0.0
PrN -7.079612665 0.0
ZrRh -8.660387035 0.0
ErN -7.27038107 0.0
WN -10.445238155 0.0
TeAs -3.79842968 0.0
BeCu -3.83113019 0.0
LaZn -3.41670676 0.0
TlF -3.80812085 2.222
CuI -2.779974445 1.195
ThGe -6.79181683 0.0
MnN -8.87655816 0.0
GdSb -5.55152207 0.0
CoN -7.20469693 0.0
InSb -3.405117725 0.0
TmN -8.22671147 0.368
HgTe -1.470876655 0.0
RbH -2.330556365 2.953
YAl -5.52185321 0.0
SmRh -6.707238495 0.0
LiRh -4.777188485 0.0
SeS -3.41457735 0.0
YAs -7.11390135 0.0
GdTe -5.23702061 0.0
CeAg -4.04212822 0.0
SmCu -4.396032695 0.0
NiHg -2.7291494 0.0
SrSi -3.66198608 0.0
EuTe -4.113794075 0.217
Na -1.30288018 0.0
MnS -7.066031145 0.0
GaP -4.629374695 1.754
VRu -9.296612905 0.0
ThAs -7.145226235 0.0
NaCl -3.231335825 4.237
Sc -6.28033029 0.0
PuSe -10.435745795 0.0
NpAs -9.47745418 0.0
NpAs -9.340038225 0.0
TiRh -8.250802015 0.0
BeRh -6.128299005 0.0
LiS -3.5272702 0.0
AlSn -3.61899137 0.0
InRh -5.42643036 0.0
ZrTe -6.744523215 0.0
GaCo -5.34804716 0.0
ScCo -7.07800365 0.0
AlCo -6.03173074 0.0
PrIn -4.25185488 0.0
SmS -6.4475537 0.0
ZrN -9.79831925 0.0
YbP -4.207628075 0.0
SmN -8.00372435 0.0
AlN -7.2710613 4.776
GaSb -3.741792745 0.366
EuIn -2.87835589 0.0
LaMg -3.354259865 0.0
TmRh -6.83889471 0.0
PrN -7.483130875 0.0
FeCo -7.763376095 0.0
BePd -5.052156105 0.0
ZnCu -2.581497215 0.0
LiAg -2.59153171 0.0
TiBe -5.890368695 0.0
ScRu -8.29842661 0.0
CsI -2.723814305 3.857
ScZn -4.176475915 0.0
EuN -5.58130307 0.0
TbAg -4.053733625 0.0
NpSb -8.720876975 0.0
ZrO -8.95873002 0.0
ThSb -6.67540485 0.0
PuAs -10.314997095 0.0
GdS -6.414172335 0.0
ZrAs -7.67852925 0.0
InNi -4.257763185 0.0
EuCu -3.023980965 0.0
BaTe -4.155876535 0.894
VRh -8.465361005 0.0
YRh -7.709133015 0.0
CdPd -3.457525155 0.0
GdHg -2.954725305 0.0
Pa -9.49555738 0.0
LaC -6.51351228 0.0
GaAs -3.83708663 0.0
SmSb -5.597974315 0.0
CeSe -5.97876744 0.0
YbGa -2.791426815 0.0
VPt -8.04323908 0.0
SrCd -1.627572995 0.0
InTe -3.227844515 0.0
TiRu -9.238448 0.0
TbAg -4.052756975 0.0
VB2 -8.16432369333 0.0
TcN -9.006993965 0.0
SmIn -4.217963075 0.0
VRu -9.296613475 0.0
VCl2 -5.32682707 1.198
SmBi -5.323666035 0.0
GaAs -4.19483045 0.574
DyTh -5.86149749 0.0
TiIr -9.060194465 0.0
KS -2.9056 0.0
PtO -4.95021309 0.0
SmP -6.63654134 0.0
ZnPt -4.22972243 0.0
FeNi -7.006052325 0.0
ZrRu -9.51740922 0.0
LiPb -3.07911495 0.0
LiPb -3.077612085 0.0
LiPd -3.967819755 0.0
SmSe -5.91882813 0.0
InSb -3.360651185 0.0
PrCd -3.16209222 0.0
KH -2.4361312 3.656
TiNi -7.010317515 0.0
TaRu -10.84450336 0.0
MgSc -3.977972515 0.0
YbIn -2.635112195 0.0
SrLiP -3.90095986333 0.95
TlF -3.80632469 2.089
AlAu -3.75249427 0.0
ThAs -7.43070173 0.0
TcN -9.24306408 0.0
GdIn -4.177312115 0.0
LaTl -4.069342825 0.0
TmIn -4.025075575 0.0
ScAg -4.861986935 0.0
SmTl -3.91866859 0.0
ErHg -2.910986735 0.0
LaCd -3.249506295 0.0
NdAg -4.06196585 0.0
FeO -6.811800705 1.259
PmN -7.974024825 0.0
CeBi -5.14930254 0.0
PuAs -10.50671455 0.0
LaAs -5.991676075 0.0
GdTh -5.8679759 0.0
PrAg -4.05599711 0.0
FePd -6.807521545 0.0
SmAg -4.060834065 0.0
LiPd -3.98592558 0.0
PuC -11.65624786 0.0
MnPd -7.29546209 0.0
TiB2 -8.08483088333 0.0
TmPPt -6.64505789667 0.0
DyN -8.16918566 0.0
Fe -8.22026737 0.0
NaS -3.008836645 0.0
MoP -8.78455605 0.0
Sr -1.42242887 0.0
MnNi -7.30939045 0.0
GaN -5.676874395 0.835
LiPt -4.59552512 0.0
ZrCl2 -5.71551323333 1.06
PaC -9.81128507 0.0
TcN -8.79275483 0.0
PrSb -5.395322285 0.0
MnRh -8.317655665 0.0
ZrB2 -8.29272135667 0.0
AuCN -6.54428337667 1.063
FeSi2 -6.77320322667 0.0
MnPt -7.892248425 0.0
YN -8.149975345 0.0
TbGa2 -4.21889736 0.0
ZrB -7.98839738 0.0
PuTe -9.73661896 0.0
P -5.31544721 0.0
CeAl -4.579578695 0.0
HgSe -1.94483166 0.0
AlCr2 -7.72445112333 0.0
UAs -8.6879719 0.0
Li2Pt -3.83494659333 0.0
TaB2 -9.05182252667 0.0
Si2Ni -5.82153734 0.0
BaLiP -3.95608114333 0.95
YIn -5.09355583 0.0
